,,,,,,,,,,,,,,,
,,,,,,,,,,Projects Statistics ,,,,,
,,,,,,,,,,Q1,Q2,Q3,Q4,Mean ,Std Dev
,Total Impact Points (2's and 3's),14,10,21,16,4,21,6,,8,14,18.5,21,13.14,6.79
,Percent Total Potential Impact Points ,51.9%,37.0%,77.8%,59.3%,14.8%,77.8%,22.2%,,,,,,,
,Percent 3's,0.0%,0.0%,33.3%,22.2%,0.0%,33.3%,0.0%,,,,,,,
,Percent 2's,77.8%,55.6%,66.7%,55.6%,22.2%,66.7%,33.3%,,,,,,,
,Z-Score,0.13,-0.46,1.16,0.42,-1.35,1.16,-1.05,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,M2X,,,,,,,,,,,,,
,Capabilities,Part Classification ,Part Centric / Cognite AI,Master Data Nexus,Resin Selection Tool,Charted Drawings,Digital EBOM - MBOM,UBOM Phase One,,Total Impact Points,Percent '3s',Percent '2s',Z Score,,
,Part Information Access Mgmt,2,2,3,2,1,3,2,,15,28.6%,57.1%,0.91,,
,Part Information Integrity Mgmt,2,2,3,2,2,3,2,,16,28.6%,71.4%,1.28,,
,Part Release Management,1,1,2,1,1,2,1,,9,0.0%,28.6%,-1.32,,
,Part Selection Management,2,1,2,3,1,2,1,,12,14.3%,42.9%,-0.21,,
,Part Standardization Management,2,1,2,2,1,2,1,,11,0.0%,57.1%,-0.58,,
,Part Optimization Management,2,2,2,3,1,2,1,,13,14.3%,57.1%,0.16,,
,Part Substitute Management,2,2,2,2,1,2,1,,12,0.0%,71.4%,-0.21,,
,Part Revision Management,1,1,2,1,1,2,1,,9,0.0%,28.6%,-1.32,,
,Part Information Harmonization Mgmt,2,2,3,2,2,3,2,,16,28.6%,71.4%,1.28,,
,,,,,,,,,,,,,,,
,,,,,,,,,,Pain Point Statistics,,,,,
,,,,,,,,,,,,,Q1,11.0,
,,,,,,,,,,12.56,Mean,,Q2,12.0,
,,,,,,,,,,2.70,Std Dev,,Q3,15.0,
,,,,,,,,,,,,,Q4,16.0,
