,,,,,,,,,,,,,,
,PROJECT IMPACT to PAIN POINTS ,,,,,,,,Projects Statistics ,,,,,
,,,,,,,,,Q1,Q2,Q3,Q4,Mean ,Std Dev
,Total Impact Points (2's and 3's),54,58,46,33,45,44,,44.25,45.5,52,58,46.67,8.71
,Percent Total Potential Impact Points ,60.0%,64.4%,51.1%,36.7%,50.0%,48.9%,,,,,,,
,Percent 3's,33.3%,40.0%,26.7%,16.7%,16.7%,13.3%,,,,,,,
,Percent 2's,40.0%,36.7%,36.7%,30.0%,50.0%,53.3%,,,,,,,
,Z-Score,0.84,1.30,-0.08,-1.57,-0.19,-0.31,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Type,Pain Points,Centralized Data Mgmt & Gov ,Digital Thread Integration Hub,Intelligent Knowledge Management & Insight Platform,Enhanced Semantic Search & Intelligence Assistant    ,Real-Time BOM Analytics & Cost Intelligence,Design Cost Optimizer,,Total Impact Points,Percent '3s',Percent '2s',Z Score,,
Search & Discovery Issues,Limited ability to easily / quickly search for and reuse Molex designed features and components,2,2,3,3,1,2,,13,33.3%,50.0%,0.66,,
,"Part information scattered across multiple systems / data sources and not connected / synchronized (ECTR, SAP, Molex.com, SharePoint, etc.)",3,3,3,3,2,2,,16,66.7%,33.3%,1.72,,
Duplication & Proliferation,lack of standard approach of how BOM's are created and organized,2,2,2,1,2,2,,11,0.0%,83.3%,-0.05,,
,lack of standard approach of how part information is organized,3,2,2,1,1,1,,10,16.7%,33.3%,-0.40,,
,lack of ability to manage variants and options for a product / product family,1,1,1,2,3,3,,11,33.3%,16.7%,-0.05,,
Data Entry & Manual Processes,Lack of automation results in extensive manual data entry for BOM's and part information,1,3,1,0,2,1,,8,16.7%,16.7%,-1.11,,
,Manual change mgmt process for BOM's and part information across multiple systems,2,3,1,0,1,1,,8,16.7%,16.7%,-1.11,,
,"Disconnected BOM management (ie: eBOM not connected to cBOM, cBOM not connected to mBOM, eBOM partially connected to mBOM, etc.)",2,3,1,1,3,2,,12,33.3%,33.3%,0.31,,
Data Integrity & Quality Issues,Lack of digital BOM's available in plants resulting in potential quality issues (ie: Paper BOMs on shop floor no longer valid),1,2,1,0,1,0,,5,0.0%,16.7%,-2.17,,
,incomplete / incorrect / missing or missing part information,3,2,2,2,2,2,,13,16.7%,83.3%,0.66,,
,incomplete / incorrect / missing or missing material master information,3,2,2,2,2,2,,13,16.7%,83.3%,0.66,,
,lack of standard approach for material master data governance,3,1,1,0,1,1,,7,16.7%,0.0%,-1.46,,
,Inconsistency / Duplication between systems resulting in unreliable information (ie: multiple sources of truth),3,3,2,2,2,2,,14,33.3%,66.7%,1.01,,
System Integration Problems,"Lack of integration of digital thread between different BOM's (ie: eBOM to mBOM, cBOM to eBOM)",2,3,1,1,2,2,,11,16.7%,50.0%,-0.05,,
,"Part information scattered across multiple systems / data sources and not connected / synchronized (ECTR, SAP, Molex.com, SharePoint, etc.)",3,3,3,3,3,3,,18,100.0%,0.0%,2.43,,
,"Due to Molex's depedency on documents, the ability to ability to update / locate / refine our data is very difficult",2,1,3,3,1,1,,11,33.3%,16.7%,-0.05,,
Process & Workflow Inefficiencies,"Lack of harmonization of an eBOM to mBOM approach (people / process) across plants creates silos and disrupts data flow between departments, resulting in inefficiencies and bottlenecks.",2,3,3,2,2,2,,14,33.3%,66.7%,1.01,,
,"Lack of harmonization of material master creation (people / process) across plants creates silos and disrupts data flow between departments, resulting in inefficiencies and bottlenecks.",3,2,2,1,2,1,,11,16.7%,50.0%,-0.05,,
,Lack of business process (and possibly tools) to manage variants and options for a product / product family,1,1,1,1,3,3,,10,33.3%,0.0%,-0.40,,
Change Management,Changes to EBOMs and MBOMs managed in different systems resulting in redundancy and overlap,2,3,1,1,2,2,,11,16.7%,50.0%,-0.05,,
,Lack of traceabilty for Material Master changes (no revision control for MM's),3,2,1,1,2,1,,10,16.7%,33.3%,-0.40,,
,Disconnect and lack of traceability between changes to mBOM to might affect the eBOM,2,3,2,2,3,2,,14,33.3%,66.7%,1.01,,
,Inefficient and non starndardized application of PCN Process resulting in customer frustration,1,2,2,1,2,2,,10,0.0%,66.7%,-0.40,,
Knowledge Management Issues,"lack of standard approach of how BOM's are created, organized and maintained",2,2,3,1,1,2,,11,16.7%,50.0%,-0.05,,
,No comprehensive / organized / standardized training programs leveraged on an ongoing basis.,1,0,3,2,0,1,,7,16.7%,16.7%,-1.46,,
Business Impact,Limited ability to easily / quickly search for and reuse Molex designed features and components,2,2,3,3,1,3,,14,50.0%,33.3%,1.01,,
Manufacturing-Specific Issues,"Lack of effective communication regarding the production readiness (ie: customer approval of samples, completion of full material master, quotes for purchased maeterials, etc.)",1,3,2,2,2,2,,12,16.7%,66.7%,0.31,,
,"Lack of effective communication regarding the readiness of NPI parts (ie: approval to build samples, clarity of BOM, etc.)",1,3,2,2,2,2,,12,16.7%,66.7%,0.31,,
Organizational & Governance Gaps,Lack of data governance for BOM's and part information management. Unclear ownership and lack of formal process tools to enforce governance,3,1,1,0,1,1,,7,16.7%,0.0%,-1.46,,
,Poor execution of OCM and lack of business owernership for value creation resulting in poor adoption,2,1,2,1,2,2,,10,0.0%,66.7%,-0.40,,
,,,,,,,,,,,,,,
,,,,,,,,,Pain Point Statistics,,,,,
,,,,,,,,,,,,Q1,10,
,,,,,,,,,11.13,Mean,,Q2,11,
,,,,,,,,,2.83,Std Dev,,Q3,13,
,,,,,,,,,,,,Q4,18,
